"","date_name","deeper_count"
"266",2019-09-24,4
"267",2020-07-10,4
"268",2019-06-24,4
"269",2019-05-30,4
"270",2019-04-13,4
"271",2019-07-17,4
"272",2020-06-03,4
"273",2021-06-23,4
"274",2021-06-13,4
"275",2020-06-04,4
"276",2020-07-07,3
"277",2021-05-20,3
"278",2020-04-28,3
"279",2020-04-01,3
"280",2021-05-14,3
"281",2019-03-24,3
"282",2021-06-30,3
"283",2019-07-27,3
"284",2019-05-09,3
"285",2020-11-03,3
"286",2020-11-05,3
"287",2020-05-15,3
"288",2020-11-28,3
"289",2019-02-22,3
"290",2021-02-18,3
"291",2020-10-05,3
"292",2020-11-11,3
"293",2021-02-12,3
"294",2021-03-28,3
"295",2020-07-02,3
"296",2020-07-15,3
"297",2019-04-18,3
"298",2019-06-28,3
"299",2021-07-03,3
"300",2020-07-18,3
"301",2020-07-29,3
"302",2019-09-29,3
"303",2019-04-20,3
"304",2020-04-15,3
"305",2021-01-17,3
"306",2021-03-10,3
"307",2019-11-24,3
"308",2020-03-22,3
"309",2019-10-25,3
"310",2019-06-16,3
"311",2019-04-05,3
"312",2021-02-01,3
"313",2019-09-08,3
"314",2020-04-22,3
"315",2020-10-07,3
"316",2020-09-04,3
"317",2020-10-27,3
"318",2019-07-21,3
"319",2019-08-25,3
"320",2021-05-09,3
"321",2020-03-31,3
"322",2020-03-15,3
"323",2021-02-02,3
"324",2019-02-05,3
"325",2020-10-30,3
"326",2021-05-26,3
"327",2019-10-08,3
"328",2020-02-01,3
"329",2021-06-20,3
"330",2019-01-14,3
"331",2020-11-15,3
"332",2020-08-20,3
"333",2020-08-14,3
"334",2019-04-19,3
"335",2021-05-08,3
"336",2020-06-17,3
"337",2020-03-24,3
"338",2021-06-22,3
"339",2019-02-12,3
"340",2019-02-15,3
"341",2020-05-28,3
"342",2020-07-17,3
"343",2019-08-01,3
"344",2020-06-08,3
"345",2019-05-03,3
"346",2021-04-02,3
"347",2019-11-01,3
"348",2020-05-25,3
"349",2019-05-23,3
"350",2021-03-05,3
"351",2021-03-13,3
"352",2021-06-03,3
"353",2021-06-14,3
"354",2021-06-18,3
"355",2021-06-26,3
"356",2019-04-08,3
"357",2020-10-28,3
"358",2019-07-09,3
"359",2019-10-21,3
"360",2019-12-21,3
"361",2020-08-12,3
"362",2021-07-04,3
"363",2021-05-23,3
"364",2019-07-26,3
"365",2019-08-31,3
"366",2020-02-29,3
"367",2020-05-17,3
"368",2019-11-02,3
"369",2020-03-08,3
"370",2020-07-28,3
"371",2019-06-19,3
"372",2021-07-10,3
"373",2020-09-24,3
"374",2020-07-23,3
"375",2021-05-21,3
"376",2020-01-09,2
"377",2020-02-26,2
"378",2020-03-17,2
"379",2019-08-06,2
"380",2019-08-22,2
"381",2019-11-07,2
"382",2019-06-27,2
"383",2020-04-06,2
"384",2019-08-18,2
"385",2019-03-30,2
"386",2020-03-29,2
"387",2020-02-16,2
"388",2020-09-29,2
"389",2020-06-23,2
"390",2021-02-10,2
"391",2019-09-20,2
"392",2021-07-01,2
"393",2021-01-16,2
"394",2020-04-27,2
"395",2019-04-09,2
"396",2019-04-16,2
"397",2019-05-20,2
"398",2021-03-24,2
"399",2021-03-25,2
"400",2021-07-05,2
"401",2019-01-07,2
"402",2019-08-04,2
"403",2020-01-01,2
"404",2021-05-02,2
"405",2020-12-13,2
"406",2019-09-21,2
"407",2019-03-29,2
"408",2019-06-25,2
"409",2019-04-10,2
"410",2019-09-14,2
"411",2020-10-23,2
"412",2019-10-27,2
"413",2021-05-10,2
"414",2021-03-02,2
"415",2019-07-30,2
"416",2021-07-12,2
"417",2019-05-10,2
"418",2019-11-09,2
"419",2019-03-22,2
"420",2020-04-02,2
"421",2020-05-05,2
"422",2019-04-24,2
"423",2019-10-03,2
"424",2019-11-23,2
"425",2019-12-26,2
"426",2020-03-07,2
"427",2020-04-09,2
"428",2019-07-29,2
"429",2020-06-22,2
"430",2020-07-31,2
"431",2019-05-26,2
"432",2020-08-29,2
"433",2021-04-18,2
"434",2020-05-13,2
"435",2020-11-10,2
"436",2020-10-02,2
"437",2021-06-11,2
"438",2020-11-04,2
"439",2021-03-07,2
"440",2021-04-08,2
"441",2020-02-17,2
"442",2021-04-17,2
"443",2020-11-27,2
"444",2019-08-30,2
"445",2021-03-12,2
"446",2021-05-07,2
"447",2021-06-19,2
"448",2019-04-29,2
"449",2019-03-11,2
"450",2020-10-22,2
"451",2021-07-09,2
"452",2021-02-28,2
"453",2019-09-27,2
"454",2019-05-28,2
"455",2020-10-20,2
"456",2020-11-06,2
"457",2020-11-16,2
"458",2020-07-06,2
"459",2020-06-26,2
"460",2020-12-20,2
"461",2020-11-25,2
"462",2021-05-22,2
"463",2020-03-19,2
"464",2020-10-29,2
"465",2021-06-29,2
"466",2021-04-25,2
"467",2020-08-27,2
"468",2019-05-05,2
"469",2021-05-12,2
"470",2021-01-25,2
"471",2019-10-22,2
"472",2019-09-17,2
"473",2020-01-22,2
"474",2020-04-14,2
"475",2020-09-27,2
"476",2019-05-17,2
"477",2021-07-08,2
"478",2019-08-19,2
"479",2020-10-11,2
"480",2019-07-31,2
"481",2021-04-20,2
"482",2019-05-27,2
"483",2019-10-01,2
"484",2019-10-07,2
"485",2019-12-25,2
"486",2019-07-28,2
"487",2019-07-01,2
"488",2020-08-23,2
"489",2020-11-24,2
"490",2020-08-04,2
"491",2019-04-14,2
"492",2020-04-20,2
"493",2020-06-09,2
"494",2019-09-23,2
"495",2020-06-18,2
"496",2021-03-27,2
"497",2021-03-31,2
"498",2019-09-06,2
"499",2020-05-18,2
"500",2020-09-22,2
"501",2020-09-18,2
"502",2020-01-25,2
