it	post	likelihood	prior	r0	a	p	
0	-3767.00766261001	-3762.78113898381	-4.22652362619872	1	1	0.764198048658739	
100	-1938.35233202169	-1934.12754683274	-4.22478518895572	1.00326123041101	0.00815286450088015	0.634630486406751	
200	-1888.75779804592	-1884.56238767057	-4.19541037534933	0.973884317502379	0.0220528829609976	0.62593544420443	
300	-1792.75745034699	-1788.60048993992	-4.15696040706727	0.935436287792399	0.00993052013218393	0.609180676136624	
400	-1779.20449225695	-1775.06687861678	-4.13761364017347	0.916082349130883	0.0391531451372431	0.606203597602816	
500	-1514.05669278461	-1510.02832576438	-4.02836702022401	0.806843012981116	0.00872976724058394	0.555111638093528	
600	-1421.87800732948	-1417.89235453339	-3.98565279609142	0.764128858987241	0.00788549880962813	0.53548942330968	
700	-1095.0925818944	-1091.27184391895	-3.8207379754549	0.599204491097479	0.0444030600367114	0.457200988626329	
800	-1050.63000297823	-1046.82481646707	-3.80518651116437	0.583659677831455	0.0253264059778302	0.445773501448593	
900	-688.065162068253	-684.433030855596	-3.63213121265703	0.410606987560167	0.0109443880384788	0.338060640854878	
1000	-376.965579559498	-373.505002526088	-3.46057703340918	0.239016281748189	0.0861689761746674	0.219928486023828	
1100	-124.179139529569	-120.924734670983	-3.2544048585854	0.0288618223089711	0.896594677399845	0.0458851604302086	
1200	-122.536349379482	-119.272833105471	-3.2635162740107	0.0396561907511191	0.683587165013888	0.0549238118531722	
1300	-122.916680701766	-119.659453385211	-3.25722731655479	0.0312437896057951	0.944447007542477	0.0510768084792887	
1400	-122.722108425231	-119.460949479789	-3.26115894544229	0.0373621131665993	0.67427087686956	0.0515610093438349	
1500	-122.50313174632	-119.240816140707	-3.26231560561282	0.0383843880612391	0.693915175343864	0.0535354981947375	
1600	-122.574905818135	-119.313557354697	-3.26134846343763	0.0361703105363984	0.854930020822213	0.0556507918100362	
1700	-122.7225777047	-119.464525647225	-3.25805205747504	0.0323404657281924	0.915201130695641	0.0518451724420343	
1800	-122.528469900665	-119.265358950491	-3.26311095017472	0.0392643193900575	0.681616400321946	0.0543358361855597	
1900	-123.892998613272	-120.62328614813	-3.26971246514153	0.0469828620739271	0.491116456431337	0.0581493089234498	
