it	post	likelihood	prior	r0	a	p	
0	-838.661699096392	-834.426881411024	-4.23481768536789	1.00992469959892	0.820897017931566	0.786321736829187	
100	-331.061004770788	-326.859703585829	-4.20130118495981	0.979773686593398	0.0278286460088567	0.63045369159478	
200	-313.424382904032	-309.239283769368	-4.1850991346639	0.963575508445501	6.27453671769307e-05	0.618486887367069	
300	-308.537464261333	-304.364591773059	-4.17287248827477	0.951348842056468	0.00200097896158707	0.61420042281449	
400	-275.244396967717	-271.158987734025	-4.08540923369144	0.863883301652968	0.0214748213300482	0.582952787803669	
500	-228.624972291646	-224.631315018374	-3.99365727327191	0.772133626677096	0.0020197078119964	0.538385597341416	
600	-194.943544412609	-191.036085175686	-3.90745923692251	0.685934410430491	0.0154938264982775	0.499446426903811	
700	-184.033294443692	-180.157281121248	-3.87601332244404	0.654486298495903	0.0260681775864214	0.485380332570314	
800	-154.383755449357	-150.573542801634	-3.81021264772384	0.588687869673594	0.0151779545936734	0.447787665625935	
900	-125.581357785891	-121.843893582156	-3.73746420373434	0.51593948549591	0.0147786312969402	0.405670670599376	
1000	-92.3354067919182	-88.6850604532561	-3.65034633866213	0.428822599584236	0.00475140349008141	0.349483847303168	
1100	-56.4950253176232	-52.9654527006215	-3.5295726170017	0.308046361180022	0.0229330458678305	0.268108919979645	
1200	-32.5609754986985	-29.1763078395812	-3.38466765911733	0.163131959876045	0.0491386661771684	0.154492906185338	
1300	-34.303525347715	-30.9579089572495	-3.34561639046551	0.123945618551224	0.171549243992195	0.128146819555472	
1400	-33.4316450991298	-30.0194042900485	-3.41224080908133	0.190716918632387	0.00726980362087498	0.174290150944176	
1500	-32.8128206042491	-29.4177249481281	-3.39509565612105	0.173564367601647	0.0391467001987618	0.162654104871547	
1600	-33.3216585991704	-29.9524417408325	-3.36921685833792	0.147576910918577	0.152526207990013	0.149048101177656	
1700	-33.1595754900847	-29.798611175387	-3.36096431469778	0.139390063202007	0.100623354199342	0.137392319569004	
1800	-34.4419443492555	-31.0442360318268	-3.39770831742868	0.176111945789306	0.120619600941428	0.172172507036244	
